trait,model,mean,std
Machiavellianism,human,2.96,0.65
Narcissism,human,2.97,0.61
Psychopathy,human,2.09,0.63
Machiavellianism,meta/meta-llama-3.1-405b-instruct,2.31,0.11
Narcissism,meta/meta-llama-3.1-405b-instruct,2.93,0.22
Psychopathy,meta/meta-llama-3.1-405b-instruct,1.44,0.0
Machiavellianism,meta/meta-llama-3-70b-instruct,2.8,0.09
Narcissism,meta/meta-llama-3-70b-instruct,2.93,0.22
Psychopathy,meta/meta-llama-3-70b-instruct,2.18,0.1
Machiavellianism,meta/meta-llama-3-8b-instruct,2.64,0.21
Narcissism,meta/meta-llama-3-8b-instruct,3.02,0.11
Psychopathy,meta/meta-llama-3-8b-instruct,2.56,0.0
Machiavellianism,meta/llama-2-7b-chat,2.11,0.79
Narcissism,meta/llama-2-7b-chat,2.4,0.71
Psychopathy,meta/llama-2-7b-chat,2.51,0.74
Machiavellianism,meta/llama-2-70b-chat,3.02,0.16
Narcissism,meta/llama-2-70b-chat,3.13,0.19
Psychopathy,meta/llama-2-70b-chat,2.56,0.0
Machiavellianism,meta/llama-2-13b-chat,2.56,0.42
Narcissism,meta/llama-2-13b-chat,2.73,0.19
Psychopathy,meta/llama-2-13b-chat,2.49,0.33
Machiavellianism,gpt-4o-mini,3.2,0.25
Narcissism,gpt-4o-mini,3.49,0.24
Psychopathy,gpt-4o-mini,2.31,0.22
Machiavellianism,gpt-4o,2.56,0.34
Narcissism,gpt-4o,3.07,0.11
Psychopathy,gpt-4o,1.8,0.26
Machiavellianism,gpt-4-turbo,2.58,0.05
Narcissism,gpt-4-turbo,3.0,0.0
Psychopathy,gpt-4-turbo,1.22,0.0
Machiavellianism,gpt-4,2.84,0.44
Narcissism,gpt-4,3.0,0.0
Psychopathy,gpt-4,2.69,0.22
Machiavellianism,gpt-3.5-turbo,3.51,0.1
Narcissism,gpt-3.5-turbo,3.53,0.17
Psychopathy,gpt-3.5-turbo,1.91,0.05
Machiavellianism,claude-3-5-sonnet-20240620,2.38,0.06
Narcissism,claude-3-5-sonnet-20240620,2.93,0.23
Psychopathy,claude-3-5-sonnet-20240620,2.29,0.44
Machiavellianism,claude-3-sonnet-20240229,1.89,0.1
Narcissism,claude-3-sonnet-20240229,3.0,0.28
Psychopathy,claude-3-sonnet-20240229,1.22,0.1
Machiavellianism,claude-3-haiku-20240307,2.69,0.3
Narcissism,claude-3-haiku-20240307,3.16,0.11
Psychopathy,claude-3-haiku-20240307,2.16,0.06
Machiavellianism,claude-2.0,2.91,0.16
Narcissism,claude-2.0,3.0,0.0
Psychopathy,claude-2.0,2.69,0.15
Machiavellianism,claude-2.1,3.0,0.0
Narcissism,claude-2.1,3.0,0.0
Psychopathy,claude-2.1,3.0,0.0
Machiavellianism,claude-instant-1.2,2.91,0.05
Narcissism,claude-instant-1.2,3.09,0.05
Psychopathy,claude-instant-1.2,2.58,0.16
Machiavellianism,o1-mini-2024-09-12,3.22,
Narcissism,o1-mini-2024-09-12,2.78,
Psychopathy,o1-mini-2024-09-12,3.0,
Machiavellianism,o1-preview-2024-09-12,2.67,
Narcissism,o1-preview-2024-09-12,2.67,
Psychopathy,o1-preview-2024-09-12,2.56,
